"X" "Y"
"110" 344369.526694355 4996962.07051732
"111" 361935.23951151 4924373.12718108
"112" 356145.016858584 4917744.43197014
"113" 344312.286382889 4987239.10140123
"114" 365459.899568787 4933951.63197344
"115" 353655.287638639 5002460.25721267
"116" 418046.676438873 4902029.81454208
"117" 353301.37418924 4909000.62971935
"118" 405601.819895279 4910202.80273928
"119" 344836.72904054 4956446.23862384
"120" 392726.183439374 4897213.93058471
"121" 365043.067693078 4923162.20896703
"122" 357812.780988344 5002358.02561032
"123" 354786.897524046 4948291.62488578
"124" 361442.900064796 4995775.65744789
"125" 351478.792981199 4997248.19489935
"126" 369246.183213151 4910736.09826624
"127" 408463.9998555 4905003.32165656
"128" 322087.947640608 4993425.73764192
"129" 399248.089746785 4903305.05043357
"130" 353390.501064444 4996245.72970357
"131" 344962.915049807 4979718.6849964
"132" 348692.767741381 4974194.00146146
"133" 364275.393506897 4898611.58897102
"134" 365298.943003336 4938959.13338591
"135" 351457.45974792 4939169.72246637
"136" 384687.614088005 4898276.95440827
"137" 358040.691832161 4978598.72997522
"138" 415248.112157469 4915863.1851082
"139" 335990.013166899 4994607.2137027
"140" 351286.50158751 4999510.9484607
"141" 368384.09495004 4996163.65545596
"142" 404666.81093427 4912893.44563335
"143" 374567.415363707 4905117.89503561
"144" 382556.361949603 4912552.80585798
"145" 357345.084137265 4927983.44542855
"146" 373248.88714965 4926101.93882836
"147" 364815.326264951 4908050.55043199
"148" 379902.692479386 4913445.9103748
"149" 376686.417342449 4935929.95595775
"150" 327458.779564235 4983704.56292274
"151" 420074.95649799 4957298.24845806
"152" 438793.151490264 4997913.47764393
"153" 443412.743395946 4985167.2592866
"154" 436997.999227046 4978888.72631995
"155" 424020.567108418 4988629.54665959
"156" 444764.411599423 4999445.25865869
"157" 411975.905081672 4949566.11702166
"158" 410237.388129026 4998854.82305989
"159" 443485.731869654 4994284.53014534
"160" 361644.184235116 4978643.79989905
"161" 367738.966190958 4918766.02685905
"162" 363638.995122438 5000996.94930544
"163" 357551.239590892 4994879.39114338
"164" 358524.068510922 4960326.34657811
"165" 339492.861315411 4926969.38506015
"166" 348805.168873178 4922322.35725182
"167" 403233.952963555 4904637.69612663
"168" 339036.620965342 4930086.39534529
"169" 417536.455955885 4911638.48438135
"170" 400035.363589642 4888132.79467715
"171" 350806.860141712 4962872.37948864
"172" 395367.258844927 4909742.97911444
"173" 345837.649683064 4920713.86084465
"174" 368988.851569645 4989994.79521635
"175" 371179.408885897 4990032.86306467
"176" 373671.677998964 4932069.16167967
"177" 336444.301330938 4973469.90189376
"178" 411141.58484973 4907692.56777856
"179" 324778.906616482 4997583.01444285
"180" 368796.109779175 4987934.93379954
"181" 367694.289506489 5001116.83307447
"182" 342915.193807036 4910992.01170715
"183" 345318.539692532 4905938.1390127
"184" 373065.128197379 4999737.97817214
"185" 375887.603338904 4928355.41194917
"186" 401613.556265824 4883235.5575746
"187" 381213.661710443 4896387.30927249
"188" 347582.308610593 4932362.31103741
"189" 358393.767526873 4911222.88718988
"190" 351849.409089244 4904974.53543762
"191" 354253.277774786 4902494.26991914
"192" 342919.530532706 4938202.02802469
"193" 344868.840496891 4943038.74327693
"194" 422232.012753674 4970275.67142152
"195" 430376.473635052 4973368.10714374
"196" 431924.637343906 4987811.87970833
"197" 433687.316168241 4970914.68254046
"198" 446033.642609866 4996729.18078504
"199" 424775.994286485 4976650.8168741
"200" 439663.185053134 4976326.94489663
"201" 448682.286354538 4957276.45034409
"202" 433157.22675447 4963972.9152365
"203" 442465.537647185 4970269.01898008
"204" 414140.514358673 5030762.50822198
"205" 420374.992865369 5012367.98786616
"206" 415921.035872958 4980488.5323287
"207" 383886.547031898 4956111.57669361
"208" 380260.099032232 4960465.24722063
"209" 476541.107879389 4957766.93587837
"210" 460316.88332467 5058460.82767513
"211" 368586.911570445 4965192.78080039
"212" 396390.084460967 5015715.76121705
"213" 492431.817705417 4985658.29348434
"214" 457382.009187766 4995218.82263306
"215" 464886.280658763 4977617.37178606
"216" 458512.469861667 5000145.37536412
"217" 447346.965473003 5051036.67524219
"218" 449356.993174783 5057971.68070806
"219" 409291.797520663 4916122.8044444
"220" 442930.038284182 4975136.89993961
"221" 422490.525913817 4999720.1521613
"222" 445001.682525699 4966976.65833029
"223" 447981.522253936 4994554.2740222
"224" 434736.646598289 4962252.06856252
"225" 404379.101881002 4994278.48832262
"226" 406916.921833234 4996407.57574612
"227" 441722.260646524 4967042.92723446
"228" 451256.864668554 4986848.23145541
"229" 425526.750015866 4995074.10559585
"230" 438033.445657935 4963752.26017992
"231" 448353.878903764 4965845.32697983
"232" 440292.491996441 4975140.81002847
"233" 431774.99315437 4972189.21304773
"234" 437031.317967446 4974650.71754998
"235" 425509.834978414 4993559.40170697
"236" 426860.427471806 4964759.08270561
"237" 444802.657018457 4992319.30773191
"238" 454004.629414869 4983181.47365554
