"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"66" "01SS2N936PI" "01SS2N720PI" 1 1 424597.096648843 5072590.2623208 0 0 415904.115636984 5071980.65875882
"67" "01SS3N347PI" "01SS1N503PI" 1 8 384132.939701726 5031771.40898177 0 0 383584.428111674 5030092.76953091
"68" "01SS3N347PI" "01SS1N647PI" 1 8 377772.959813652 5028602.25706182 0 0 383584.428111674 5030092.76953091
"69" "01SS3N347PI" "01SS1N652PI" 1 8 380235.916786341 5027129.04841752 0 0 383584.428111674 5030092.76953091
"70" "01SS3N347PI" "01SS2N188PI" 1 8 378100.406921025 5034018.06068776 0 0 383584.428111674 5030092.76953091
"71" "01SS3N347PI" "01SS2N346PI" 1 8 369313.523154802 5033091.41934406 0 0 383584.428111674 5030092.76953091
"72" "01SS3N347PI" "01SS2N374PI" 1 8 373321.271778521 5036876.34404926 0 0 383584.428111674 5030092.76953091
"73" "01SS3N347PI" "06SS3F348PI" 1 8 399500.795936864 5021908.56376987 0 0 383584.428111674 5030092.76953091
"74" "01SS3N347PI" "01SS2N732PI" 1 8 388244.946598989 5036094.90621017 0 0 383584.428111674 5030092.76953091
"75" "01SS3N721PI" "01SS1N175PI" 1 8 440379.266221097 5069587.03872784 0 0 441009.859764055 5069909.17584702
"76" "01SS3N721PI" "01SS1N360PI" 1 8 445164.416008156 5072548.95763022 0 0 441009.859764055 5069909.17584702
"77" "01SS3N721PI" "01SS2N718PI" 1 8 426692.006103859 5078439.31509504 0 0 441009.859764055 5069909.17584702
"78" "01SS3N721PI" "01SS2N720PI" 1 8 424597.096648843 5072590.2623208 0 0 441009.859764055 5069909.17584702
"79" "01SS3N721PI" "01SS2N747PI" 1 8 446700.267096544 5064611.38503851 0 0 441009.859764055 5069909.17584702
"80" "01SS3N721PI" "01SS2N303PI" 1 8 439588.414557452 5079505.36986207 0 0 441009.859764055 5069909.17584702
"81" "01SS3N721PI" "01SS3N727PI" 1 8 442343.91145474 5059699.88401931 0 0 441009.859764055 5069909.17584702
"82" "01SS3N721PI" "06SS3F722PI" 1 8 451184.911985131 5050537.69665703 0 0 441009.859764055 5069909.17584702
"83" "01SS2N105PI" "01SS1N104PI" 1 2 417153.087096483 5060129.19875542 0 0 421571.142951228 5058011.18039508
"84" "01SS2N105PI" "01SS2N106PI" 1 2 425990.104335655 5050002.15024321 0 0 421571.142951228 5058011.18039508
"85" "01SS2N106PI" "01SS2N105PI" 1 3 421571.142951228 5058011.18039508 0 0 425990.104335655 5050002.15024321
"86" "01SS2N106PI" "01SS2N352PI" 1 3 422051.278928032 5051199.77930563 0 0 425990.104335655 5050002.15024321
"87" "01SS2N106PI" "06SS3D107PI" 1 3 431816.887719005 5044561.5442901 0 0 425990.104335655 5050002.15024321
"88" "01SS2N123PI" "01SS1N122PI" 1 3 393822.87588084 5045029.68067956 0 0 401480.406844959 5039084.54480939
"89" "01SS2N123PI" "01SS2N710PI" 1 3 398870.062209049 5036355.68953147 0 0 401480.406844959 5039084.54480939
"90" "01SS2N123PI" "06SS3F124PI" 1 3 407916.887491454 5030145.42766613 0 0 401480.406844959 5039084.54480939
"91" "01SS2N176PI" "01SS2N718PI" 1 1 426692.006103859 5078439.31509504 0 0 427398.549826367 5082916.58853627
"92" "01SS2N182PI" "01SS1N840PI" 1 4 416346.781564383 5047774.37810288 0 0 420813.346683221 5045888.38933631
"93" "01SS2N182PI" "01SS1N181PI" 1 4 416135.613425198 5051930.10094332 0 0 420813.346683221 5045888.38933631
"94" "01SS2N182PI" "01SS2N262PI" 1 4 419017.815371338 5042049.96011286 0 0 420813.346683221 5045888.38933631
"95" "01SS2N182PI" "06SS3D183PI" 1 4 436139.984397465 5031443.08226042 0 0 420813.346683221 5045888.38933631
